"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"009","R","2021",1,"009",1,1,4,461,3,1,"FRONT OF BUNKER",10397,10695,118,10120.53,9904.15,115.19,10255.63,11226.37,120.89,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,1,4,461,3,2,"BACK OF BUNKER",10365,10745,117,10120.53,9904.15,115.19,10255.63,11226.37,120.89,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,1,4,461,3,3,"FRONT OF BUNKER",10359,10749,116,10120.53,9904.15,115.19,10255.63,11226.37,120.89,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,1,4,461,3,4,"BACK OF BUNKER",10342,10787,117,10120.53,9904.15,115.19,10255.63,11226.37,120.89,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,2,4,461,5,1,"FRONT OF BUNKER",10397,10695,118,10123.23,9909.64,115.22,10203.45,11201.96,120.01,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,2,4,461,5,2,"BACK OF BUNKER",10365,10745,117,10123.23,9909.64,115.22,10203.45,11201.96,120.01,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,2,4,461,5,3,"FRONT OF BUNKER",10359,10749,116,10123.23,9909.64,115.22,10203.45,11201.96,120.01,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,2,4,461,5,4,"BACK OF BUNKER",10342,10787,117,10123.23,9909.64,115.22,10203.45,11201.96,120.01,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,3,4,461,6,1,"FRONT OF BUNKER",10397,10695,118,10124.86,9913.69,115.24,10184.05,11216.89,119.92,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,3,4,461,6,2,"BACK OF BUNKER",10365,10745,117,10124.86,9913.69,115.24,10184.05,11216.89,119.92,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,3,4,461,6,3,"FRONT OF BUNKER",10359,10749,116,10124.86,9913.69,115.24,10184.05,11216.89,119.92,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,3,4,461,6,4,"BACK OF BUNKER",10342,10787,117,10124.86,9913.69,115.24,10184.05,11216.89,119.92,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,4,4,461,4,1,"FRONT OF BUNKER",10397,10695,118,10119.46,9902.03,115.19,10253.06,11247.78,121.11,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,4,4,461,4,2,"BACK OF BUNKER",10365,10745,117,10119.46,9902.03,115.19,10253.06,11247.78,121.11,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,4,4,461,4,3,"FRONT OF BUNKER",10359,10749,116,10119.46,9902.03,115.19,10253.06,11247.78,121.11,10327.73,10694.05,116.77
"009","R","2021",1,"009",1,4,4,461,4,4,"BACK OF BUNKER",10342,10787,117,10119.46,9902.03,115.19,10253.06,11247.78,121.11,10327.73,10694.05,116.77
