"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"525","R","2021",1,"883",1,1,4,416,14,9350.26,10354.24,900.43,8114.29,10293.95,899.11,8498.24,10191.93,896.14
"525","R","2021",1,"883",1,2,4,416,13,9342.69,10352.35,900.35,8177.87,10315.96,898.61,8498.24,10191.93,896.14
"525","R","2021",1,"883",1,3,4,416,7,9345.52,10352.62,900.4,8144.12,10253.02,898.73,8498.24,10191.93,896.14
"525","R","2021",1,"883",1,4,4,416,13,9347.3,10353.1,900.42,8195,10282.35,898.01,8498.24,10191.93,896.14
"525","R","2021",1,"883",2,1,4,468,10,8114.15,10463.54,902.25,8343.34,11726.09,893.23,8059.35,11349.62,893.91
"525","R","2021",1,"883",2,2,4,468,12,8113.74,10461.2,902.21,8349.03,11780.3,893.87,8059.35,11349.62,893.91
"525","R","2021",1,"883",2,3,4,468,2,8113.74,10460.39,902.19,8388.72,11777.81,893.97,8059.35,11349.62,893.91
"525","R","2021",1,"883",2,4,4,468,4,8114.06,10458.73,902.17,8307.06,11758.12,894.21,8059.35,11349.62,893.91
"525","R","2021",1,"883",3,1,4,501,2,8871.98,11746.42,898.04,10256.71,11508.37,897.6,9729.72,11700.65,895.78
"525","R","2021",1,"883",3,2,4,501,2,8865.36,11746.22,898.03,10312.61,11438.66,899.67,9729.72,11700.65,895.78
"525","R","2021",1,"883",3,3,4,501,5,8869.61,11746.19,898.04,10327.37,11499.6,899.05,9729.72,11700.65,895.78
"525","R","2021",1,"883",3,4,4,501,6,8875.77,11746.93,898.03,10283.22,11445.51,899.49,9729.72,11700.65,895.78
"525","R","2021",1,"883",4,1,3,177,8,10478.9,11582.76,903.54,11014,11696.48,899.58,0,0,0
"525","R","2021",1,"883",4,2,3,177,11,10472.48,11580.45,903.55,10964.08,11735.4,897.78,0,0,0
"525","R","2021",1,"883",4,3,3,177,15,10499.38,11600.79,903.04,10946.38,11717,897.27,0,0,0
"525","R","2021",1,"883",4,4,3,177,8,10469,11579.9,903.52,11022.7,11738.61,899.51,0,0,0
"525","R","2021",1,"883",5,1,4,424,15,11108.6,11739.83,903.79,12289.72,11568.25,909.08,11948.34,11486.64,896.34
"525","R","2021",1,"883",5,2,4,424,16,11098.89,11742.78,903.89,12345.03,11556.81,910.11,11948.34,11486.64,896.34
"525","R","2021",1,"883",5,3,4,424,13,11100.47,11741.03,903.85,12351.31,11593.2,910.3,11948.34,11486.64,896.34
"525","R","2021",1,"883",5,4,4,424,16,11105.5,11739.56,903.8,12295.9,11533.03,908.79,11948.34,11486.64,896.34
"525","R","2021",1,"883",6,1,5,594,17,12622.34,11493.51,914.04,10942.38,11426.39,894.27,11774.21,11209.2,898.3
"525","R","2021",1,"883",6,2,5,594,17,12614.06,11490.5,914.15,11002.98,11407.36,894.01,11774.21,11209.2,898.3
"525","R","2021",1,"883",6,3,5,594,16,12615.34,11491.08,914.16,11015.39,11439.88,894.83,11774.21,11209.2,898.3
"525","R","2021",1,"883",6,4,5,594,13,12618.72,11492.5,914.1,10943.66,11378.97,893.53,11774.21,11209.2,898.3
"525","R","2021",1,"883",7,1,4,381,7,10912.84,11503.12,902.03,10033.84,10850.18,900.29,10170.46,11092.82,892.75
"525","R","2021",1,"883",7,2,4,381,5,10908.59,11501.82,902.17,9979.11,10836.14,902.59,10170.46,11092.82,892.75
"525","R","2021",1,"883",7,3,4,381,11,10913.98,11505.31,902.04,10044.53,10867.05,900.41,10170.46,11092.82,892.75
"525","R","2021",1,"883",7,4,4,381,10,10914.64,11505.53,902.05,9979.13,10874.91,902.17,10170.46,11092.82,892.75
"525","R","2021",1,"883",8,1,3,204,12,9468.4,11023.93,902.08,9060.27,11422.3,897.61,0,0,0
"525","R","2021",1,"883",8,2,3,204,4,9464.08,11009.57,901.99,8988.48,11362.91,896.99,0,0,0
"525","R","2021",1,"883",8,3,3,204,4,9469.26,11006.06,902,9026.49,11457.42,898.4,0,0,0
"525","R","2021",1,"883",8,4,3,204,11,9422.93,11026.37,901.05,9011.99,11396.23,897.19,0,0,0
"525","R","2021",1,"883",9,1,4,502,1,8543.58,11617.8,910.25,9561.56,10509.12,895.62,9159.61,10986.65,896.07
"525","R","2021",1,"883",9,2,4,502,1,8542.2,11620.08,910.19,9531.53,10452.98,894.47,9159.61,10986.65,896.07
"525","R","2021",1,"883",9,3,4,502,10,8536.86,11625.08,910.11,9517.09,10538.81,894.37,9159.61,10986.65,896.07
"525","R","2021",1,"883",9,4,4,502,3,8541.32,11620.48,910.17,9508.75,10455.72,894.24,9159.61,10986.65,896.07
"525","R","2021",1,"883",10,1,4,379,11,9662.96,9693.68,902.99,9984.72,8603.88,896.48,9883.6,8920.56,898.11
"525","R","2021",1,"883",10,2,4,379,14,9660.74,9697.43,902.99,9909.71,8635.34,894.68,9883.6,8920.56,898.11
"525","R","2021",1,"883",10,3,4,379,11,9664.27,9688.29,902.93,9944.82,8643.7,895.42,9883.6,8920.56,898.11
"525","R","2021",1,"883",10,4,4,379,11,9659.48,9701.61,903.02,9979.28,8578.97,896.5,9883.6,8920.56,898.11
"525","R","2021",1,"883",11,1,4,467,3,10132.52,8751.01,907.96,10328.61,7380.2,904.92,10265.22,7881.96,898.59
"525","R","2021",1,"883",11,2,4,467,3,10129.92,8755.69,907.83,10335.94,7330.61,905.36,10265.22,7881.96,898.59
"525","R","2021",1,"883",11,3,4,467,14,10125.56,8764.83,907.69,10294.67,7342.39,905.06,10265.22,7881.96,898.59
"525","R","2021",1,"883",11,4,4,467,7,10126.76,8761.23,907.71,10265.16,7391.83,903.91,10265.22,7881.96,898.59
"525","R","2021",1,"883",12,1,5,593,18,10561.53,7250.12,908.45,10203.63,8962.48,899.08,10546.98,8136.11,897.76
"525","R","2021",1,"883",12,2,5,593,18,10562.18,7245.85,908.44,10251.5,8940.52,898.91,10546.98,8136.11,897.76
"525","R","2021",1,"883",12,3,5,593,17,10562.67,7255.64,908.42,10251.94,8901.19,897.53,10546.98,8136.11,897.76
"525","R","2021",1,"883",12,4,5,593,18,10562.32,7243.88,908.42,10191.98,8926.59,898.45,10546.98,8136.11,897.76
"525","R","2021",1,"883",13,1,3,228,5,10288.74,9164.42,903.89,10660.34,8652.65,903.45,0,0,0
"525","R","2021",1,"883",13,2,3,228,6,10351.52,9166.43,902.96,10690.6,8717.44,901.55,0,0,0
"525","R","2021",1,"883",13,3,3,228,6,10279.92,9170.3,903.92,10702.1,8666.23,903.24,0,0,0
"525","R","2021",1,"883",13,4,3,228,2,10341.7,9175.83,903.04,10651.96,8640.52,903.61,0,0,0
"525","R","2021",1,"883",14,1,4,437,9,10638.08,8977.57,909.94,11782.98,8961.89,894.05,11391.92,8667.1,896.67
"525","R","2021",1,"883",14,2,4,437,9,10640.5,8975.28,909.94,11790.29,8877.83,894.87,11391.92,8667.1,896.67
"525","R","2021",1,"883",14,3,4,437,8,10635.69,8977.1,909.88,11817.3,8928.76,895.28,11391.92,8667.1,896.67
"525","R","2021",1,"883",14,4,4,437,5,10642.55,8974.23,909.92,11756.68,8878.96,894.34,11391.92,8667.1,896.67
"525","R","2021",1,"883",15,1,4,451,12,12265.3,9016.63,903.53,12817.42,10192.3,904.5,12724.93,9768.98,901.26
"525","R","2021",1,"883",15,2,4,451,15,12259.21,9009.84,903.61,12833.83,10232.6,905.5,12724.93,9768.98,901.26
"525","R","2021",1,"883",15,3,4,451,8,12262.67,9013.1,903.56,12810.6,10216.65,905.13,12724.93,9768.98,901.26
"525","R","2021",1,"883",15,4,4,451,13,12266.17,9018.87,903.5,12813.97,10265.65,906.31,12724.93,9768.98,901.26
"525","R","2021",1,"883",16,1,4,411,4,12739.81,10398.12,907.57,12120.38,9319.7,903.53,12315.16,9638.27,896.77
"525","R","2021",1,"883",16,2,4,411,8,12736.84,10394.75,907.54,12166.51,9343.95,903.32,12315.16,9638.27,896.77
"525","R","2021",1,"883",16,3,4,411,18,12551.75,10139.4,900.83,12117.69,9337.42,903.23,12315.16,9638.27,896.77
"525","R","2021",1,"883",16,4,4,411,17,12556.84,10149.13,900.88,12183.54,9312.61,903.3,12315.16,9638.27,896.77
"525","R","2021",1,"883",17,1,3,202,6,11876.06,9176.34,899.75,11372.76,9105.73,894.05,0,0,0
"525","R","2021",1,"883",17,2,3,202,7,11898.74,9130.24,902.51,11313.05,9108.85,894.62,0,0,0
"525","R","2021",1,"883",17,3,3,202,3,11939.8,9074.48,908.06,11374.73,9143.24,894.35,0,0,0
"525","R","2021",1,"883",17,4,3,202,1,11943.46,9074,908,11356.55,9062.78,893.6,0,0,0
"525","R","2021",1,"883",18,1,5,596,16,11475.67,9343.46,906.97,10168.63,10062.58,893.18,10582.48,9462.72,896.18
"525","R","2021",1,"883",18,2,5,596,10,11483.4,9342.55,906.94,10107.81,10035.89,895.8,10582.48,9462.72,896.18
"525","R","2021",1,"883",18,3,5,596,1,11462.3,9342.27,907,10188.39,10027.59,893.39,10582.48,9462.72,896.18
"525","R","2021",1,"883",18,4,5,596,9,11467.72,9342.28,906.98,10126.31,9980.94,894.36,10582.48,9462.72,896.18
