"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","x","y","z","name"
"528","R","2022",1,"765",1,1,4,438,10,0,0,0,"tee"
"528","R","2022",1,"765",1,2,4,438,15,0,0,0,"tee"
"528","R","2022",1,"765",1,3,4,438,8,0,0,0,"tee"
"528","R","2022",1,"765",1,4,4,438,7,0,0,0,"tee"
"528","R","2022",1,"765",2,1,5,553,8,0,0,0,"tee"
"528","R","2022",1,"765",2,2,5,553,11,0,0,0,"tee"
"528","R","2022",1,"765",2,3,5,553,17,0,0,0,"tee"
"528","R","2022",1,"765",2,4,5,553,18,0,0,0,"tee"
"528","R","2022",1,"765",3,1,3,148,9,0,0,0,"tee"
"528","R","2022",1,"765",3,2,3,148,9,0,0,0,"tee"
"528","R","2022",1,"765",3,3,3,148,8,0,0,0,"tee"
"528","R","2022",1,"765",3,4,3,148,15,0,0,0,"tee"
"528","R","2022",1,"765",4,1,4,458,4,0,0,0,"tee"
"528","R","2022",1,"765",4,2,4,458,5,0,0,0,"tee"
"528","R","2022",1,"765",4,3,4,458,3,0,0,0,"tee"
"528","R","2022",1,"765",4,4,4,458,8,0,0,0,"tee"
"528","R","2022",1,"765",5,1,4,380,16,0,0,0,"tee"
"528","R","2022",1,"765",5,2,4,380,14,0,0,0,"tee"
"528","R","2022",1,"765",5,3,4,380,16,0,0,0,"tee"
"528","R","2022",1,"765",5,4,4,380,14,0,0,0,"tee"
"528","R","2022",1,"765",6,1,4,370,17,0,0,0,"tee"
"528","R","2022",1,"765",6,2,4,370,13,0,0,0,"tee"
"528","R","2022",1,"765",6,3,4,370,8,0,0,0,"tee"
"528","R","2022",1,"765",6,4,4,370,13,0,0,0,"tee"
"528","R","2022",1,"765",7,1,5,517,14,0,0,0,"tee"
"528","R","2022",1,"765",7,2,5,517,17,0,0,0,"tee"
"528","R","2022",1,"765",7,3,5,517,18,0,0,0,"tee"
"528","R","2022",1,"765",7,4,5,517,17,0,0,0,"tee"
"528","R","2022",1,"765",8,1,3,213,5,0,0,0,"tee"
"528","R","2022",1,"765",8,2,3,213,4,0,0,0,"tee"
"528","R","2022",1,"765",8,3,3,213,5,0,0,0,"tee"
"528","R","2022",1,"765",8,4,3,213,1,0,0,0,"tee"
"528","R","2022",1,"765",9,1,4,383,12,0,0,0,"tee"
"528","R","2022",1,"765",9,2,4,383,7,0,0,0,"tee"
"528","R","2022",1,"765",9,3,4,383,13,0,0,0,"tee"
"528","R","2022",1,"765",9,4,4,383,9,0,0,0,"tee"
"528","R","2022",1,"765",10,1,4,350,11,0,0,0,"tee"
"528","R","2022",1,"765",10,2,4,350,16,0,0,0,"tee"
"528","R","2022",1,"765",10,3,4,350,11,0,0,0,"tee"
"528","R","2022",1,"765",10,4,4,350,11,0,0,0,"tee"
"528","R","2022",1,"765",11,1,4,443,13,0,0,0,"tee"
"528","R","2022",1,"765",11,2,4,443,7,0,0,0,"tee"
"528","R","2022",1,"765",11,3,4,443,11,0,0,0,"tee"
"528","R","2022",1,"765",11,4,4,443,11,0,0,0,"tee"
"528","R","2022",1,"765",12,1,4,383,6,0,0,0,"tee"
"528","R","2022",1,"765",12,2,4,383,11,0,0,0,"tee"
"528","R","2022",1,"765",12,3,4,383,14,0,0,0,"tee"
"528","R","2022",1,"765",12,4,4,383,2,0,0,0,"tee"
"528","R","2022",1,"765",13,1,3,235,3,0,0,0,"tee"
"528","R","2022",1,"765",13,2,3,235,2,0,0,0,"tee"
"528","R","2022",1,"765",13,3,3,235,3,0,0,0,"tee"
"528","R","2022",1,"765",13,4,3,235,4,0,0,0,"tee"
"528","R","2022",1,"765",14,1,4,393,15,0,0,0,"tee"
"528","R","2022",1,"765",14,2,4,393,6,0,0,0,"tee"
"528","R","2022",1,"765",14,3,4,393,2,0,0,0,"tee"
"528","R","2022",1,"765",14,4,4,393,4,0,0,0,"tee"
"528","R","2022",1,"765",15,1,4,412,1,0,0,0,"tee"
"528","R","2022",1,"765",15,2,4,412,3,0,0,0,"tee"
"528","R","2022",1,"765",15,3,4,412,6,0,0,0,"tee"
"528","R","2022",1,"765",15,4,4,412,3,0,0,0,"tee"
"528","R","2022",1,"765",16,1,3,235,2,0,0,0,"tee"
"528","R","2022",1,"765",16,2,3,235,1,0,0,0,"tee"
"528","R","2022",1,"765",16,3,3,235,1,0,0,0,"tee"
"528","R","2022",1,"765",16,4,3,235,6,0,0,0,"tee"
"528","R","2022",1,"765",17,1,5,507,18,0,0,0,"tee"
"528","R","2022",1,"765",17,2,5,507,18,0,0,0,"tee"
"528","R","2022",1,"765",17,3,5,507,15,0,0,0,"tee"
"528","R","2022",1,"765",17,4,5,507,16,0,0,0,"tee"
"528","R","2022",1,"765",18,1,4,410,7,0,0,0,"tee"
"528","R","2022",1,"765",18,2,4,410,10,0,0,0,"tee"
"528","R","2022",1,"765",18,3,4,410,7,0,0,0,"tee"
"528","R","2022",1,"765",18,4,4,410,10,0,0,0,"tee"
"528","R","2022",1,"765",1,1,4,438,10,0,0,0,"pin"
"528","R","2022",1,"765",1,2,4,438,15,0,0,0,"pin"
"528","R","2022",1,"765",1,3,4,438,8,0,0,0,"pin"
"528","R","2022",1,"765",1,4,4,438,7,0,0,0,"pin"
"528","R","2022",1,"765",2,1,5,553,8,0,0,0,"pin"
"528","R","2022",1,"765",2,2,5,553,11,0,0,0,"pin"
"528","R","2022",1,"765",2,3,5,553,17,0,0,0,"pin"
"528","R","2022",1,"765",2,4,5,553,18,0,0,0,"pin"
"528","R","2022",1,"765",3,1,3,148,9,0,0,0,"pin"
"528","R","2022",1,"765",3,2,3,148,9,0,0,0,"pin"
"528","R","2022",1,"765",3,3,3,148,8,0,0,0,"pin"
"528","R","2022",1,"765",3,4,3,148,15,0,0,0,"pin"
"528","R","2022",1,"765",4,1,4,458,4,0,0,0,"pin"
"528","R","2022",1,"765",4,2,4,458,5,0,0,0,"pin"
"528","R","2022",1,"765",4,3,4,458,3,0,0,0,"pin"
"528","R","2022",1,"765",4,4,4,458,8,0,0,0,"pin"
"528","R","2022",1,"765",5,1,4,380,16,0,0,0,"pin"
"528","R","2022",1,"765",5,2,4,380,14,0,0,0,"pin"
"528","R","2022",1,"765",5,3,4,380,16,0,0,0,"pin"
"528","R","2022",1,"765",5,4,4,380,14,0,0,0,"pin"
"528","R","2022",1,"765",6,1,4,370,17,0,0,0,"pin"
