"","tournamentNumber","tourCode","seasonYear","eventId","roundNumber","courseNumber","holeNumber","live","teeTime","startingHole","focusPlayerId","playerId","lastName","firstName","shortName","countryCode","leaderFlag","strokesBehind","textScore","roundScore","totalScore","position","thru","completedRoundScore","completedTotalScore","completedPosition","completedThru","time","type","shotNumber","distance","left","from_x","from_y","from_z","provisional","lie","strokesAssessed","groupId","x","y","z","videoID","putt","from","to","cup","radarData.strokeId","radarData.clientNumber","radarData.apexRange","radarData.apexSide","radarData.apexHeight","radarData.clubSpeed","radarData.ballSpeed","radarData.smashFactor","radarData.launchSpin","radarData.verticalLaunchAngle","radarData.horizontalLaunchAngle","radarData.actualFlightTime"
"1","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",TRUE,0,"Par","E","E","T2","--","E","E","T2","1",286524,"SST",1,"311 yds","108 yds",9529,10749,9,FALSE,NA,NA,1,9661,11672,2,"",FALSE,"OTB","ERR",FALSE,286524,11,791.6,54.41,70,0,162,0,3190,11.257,-1.614,7146.88
"2","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",TRUE,0,"Par","E","E","T2","--","E","E","T2","1",286867,"SST",2,"111 yds","23 ft 3 in.",9661,11672,2,FALSE,NA,NA,1,9670,12003,7,"",FALSE,"ORO","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",TRUE,0,"Par","E","E","T2","--","E","E","T2","1",287334,"SST",3,"24 ft 11 in.","22 in.",9670,12003,7,FALSE,NA,NA,1,9648,11993,8,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",TRUE,0,"Par","E","E","T2","--","E","E","T2","1",287567,"SST",4,"22 in.","0 in.",9648,11993,8,FALSE,NA,NA,1,9649,11995,7,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",TRUE,0,"Par","E","E","T2","--","E","E","T2","1",287568,"SST",5,"1 in.","0 in.",9649,11995,7,FALSE,NA,NA,1,9649,11995,7,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",TRUE,0,"Par","E","E","T4","--","E","E","T2","1",286438,"SST",1,"291 yds","127 yds",9529,10749,9,FALSE,NA,NA,1,9571,11621,5,"",FALSE,"OTB","ERF",FALSE,286438,11,798.51,-0.15,86,0,159,0,4199,16.132,-1.245,6740.48
"7","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",TRUE,0,"Par","E","E","T4","--","E","E","T2","1",286887,"SST",2,"132 yds","26 ft 8 in.",9571,11621,5,FALSE,NA,NA,1,9673,12005,7,"",FALSE,"OFW","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",TRUE,0,"Par","E","E","T4","--","E","E","T2","1",287172,"SST",3,"24 ft 6 in.","2 ft 5 in.",9673,12005,7,FALSE,NA,NA,1,9651,11995,7,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",TRUE,0,"Par","E","E","T4","--","E","E","T2","1",287679,"SST",4,"2 ft 5 in.","0 in.",9651,11995,7,FALSE,NA,NA,1,9649,11995,7,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,0,"Par","E","E","T1","--","E","E","T4","1",286592,"SST",1,"327 yds","97 yds",9529,10749,9,FALSE,NA,NA,1,9532,11728,7,"",FALSE,"OTB","EUK",FALSE,286592,11,830.29,-42.82,73,0,169,0,1647,12.195,1.513,6301.96
"11","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,0,"Par","E","E","T1","--","E","E","T4","1",286901,"SST",2,"75 yds","38 yds",9532,11728,7,FALSE,NA,NA,1,9690,11889,5,"",FALSE,"ONA","ERF",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,0,"Par","E","E","T1","--","E","E","T4","1",287105,"SST",3,"45 yds","26 ft 2 in.",9690,11889,5,FALSE,NA,NA,1,9659,12019,8,"",FALSE,"OFW","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","011","R","2020",1,1,"011",1,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,0,"Par","E","E","T1","--","E","E","T4","1",287206,"SST",4,"26 ft 2 in.","0 in.",9659,12019,8,FALSE,NA,NA,1,9649,11995,7,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",287814,"SST",1,"289 yds","255 yds",9452,12240,8,FALSE,NA,NA,1,9223,11404,4,"",FALSE,"OTB","ERF",FALSE,287814,11,788.21,26.16,65,109,165,1.51,0,9.73,1.393,6568.73
"15","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",288714,"SST",2,"236 yds","34 yds",9223,11404,4,FALSE,NA,NA,1,9258,10697,3,"",FALSE,"OFW","ELR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",289865,"SST",3,"76 yds","6 ft 10 in.",9185,10874,3,FALSE,NA,NA,1,9179,10645,8,"",FALSE,"ORO","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",290212,"SST",4,"6 ft 10 in.","0 in.",9179,10645,8,FALSE,NA,NA,1,9174,10641,8,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",287751,"SST",1,"265 yds","277 yds",9452,12240,8,FALSE,NA,NA,1,9302,11461,5,"",FALSE,"OTB","ELI",FALSE,287751,11,788.68,-25.24,74,109,161,1.48,2915,12.252,3.094,6465.35
"19","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",288707,"SST",2,"229 yds","48 yds",9302,11461,5,FALSE,NA,NA,1,9175,10785,6,"",FALSE,"OIR","ERR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",289625,"SST",3,"48 yds","3 ft 5 in.",9175,10785,6,FALSE,NA,NA,1,9177,10642,8,"",FALSE,"ORO","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,1,"Birdie","E","E","T2","1","-1","-1","T1","2",290326,"SST",4,"3 ft 5 in.","0 in.",9177,10642,8,FALSE,NA,NA,1,9174,10641,8,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,1,"Par","E","E","T4","1","E","E","T3","2",287931,"SST",1,"294 yds","248 yds",9452,12240,8,FALSE,NA,NA,1,9249,11380,5,"",FALSE,"OTB","ERF",FALSE,287931,11,913.78,-17.02,85,113,171,1.51,1717,13.405,4.186,6273.65
"23","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,1,"Par","E","E","T4","1","E","E","T3","2",288853,"SST",2,"209 yds","50 yds",9249,11380,5,FALSE,NA,NA,1,9269,10755,4,"",FALSE,"OFW","EG5",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,1,"Par","E","E","T4","1","E","E","T3","2",289345,"SST",3,"36 yds","43 ft 2 in.",9269,10755,4,FALSE,NA,NA,1,9192,10680,7,"",FALSE,"OGS","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,1,"Par","E","E","T4","1","E","E","T3","2",290112,"SST",4,"42 ft 4 in.","3 ft 3 in.",9192,10680,7,FALSE,NA,NA,1,9177,10640,8,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","011","R","2020",1,1,"011",2,FALSE,"7:40AM",1,"23621","49960","Straka","Sepp","S","AUT",FALSE,1,"Par","E","E","T4","1","E","E","T3","2",290466,"SST",5,"3 ft 3 in.","0 in.",9177,10640,8,FALSE,NA,NA,1,9174,10641,8,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,0,"Par","-1","-1","T1","2","-1","-1","T1","3",291022,"SST",1,"164 yds","39 ft 9 in.",9106,10482,7,FALSE,NA,NA,1,8624,10587,6,"",FALSE,"OTB","EUK",FALSE,291022,11,493.06,5.1,70,0,126,0,6629,15.175,6.939,6355.91
"28","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,0,"Par","-1","-1","T1","2","-1","-1","T1","3",292469,"SST",2,"40 ft 1 in.","2 ft 1 in.",8624,10587,6,FALSE,NA,NA,1,8584,10590,8,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,0,"Par","-1","-1","T1","2","-1","-1","T1","3",293398,"SST",3,"2 ft 1 in.","0 in.",8584,10590,8,FALSE,NA,NA,1,8585,10592,8,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","23621","Sabbatini","Rory","R","SVK",FALSE,0,"Par","-1","-1","T1","2","-1","-1","T1","3",293399,"SST",4,"0 in.","0 in.",0,0,0,FALSE,NA,NA,1,8585,10592,8,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,0,"Bogey","-1","-1","T1","2","E","E","T5","3",290925,"SST",1,"160 yds","60 ft 1 in.",9106,10482,7,FALSE,NA,NA,1,8633,10556,3,"",FALSE,"OTB","ELF",FALSE,290925,11,473.12,-31.63,76,0,125,0,7685,17.292,0.374,6649.4
"32","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,0,"Bogey","-1","-1","T1","2","E","E","T5","3",291999,"SST",2,"86 ft 2 in.","27 ft 3 in.",8633,10556,3,FALSE,NA,NA,1,8571,10615,8,"",FALSE,"OFW","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,0,"Bogey","-1","-1","T1","2","E","E","T5","3",293172,"SST",3,"28 ft 5 in.","16 in.",8571,10615,8,FALSE,NA,NA,1,8586,10591,8,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","011","R","2020",1,1,"011",3,FALSE,"7:40AM",1,"23621","27644","Harman","Brian","B","USA",FALSE,0,"Bogey","-1","-1","T1","2","E","E","T5","3",293268,"SST",4,"16 in.","0 in.",8586,10591,8,FALSE,NA,NA,1,8585,10592,8,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
