"tournamentNumber","tourCode","roundNumber","courseNumber","holeNumber","teeTime","startingHole","seasonYear","eventId","playerId","playerName","countryCode","leaderFlag","strokesBehind","textScore","roundScore","totalScore","position","thru","completedRoundScore","completedTotalScore","completedThru","stroke_id","type","shotNumber","distance","left","from_x","from_y","from_z","provisional","lie","strokesAssessed","groupId","x","y","z","putt","from","to","cup","strokeId","clientNumber","apexRange","apexSide","apexHeight","clubSpeed","ballSpeed","smashFactor","launchSpin","verticalLaunchAngle","horizontalLaunchAngle","actualFlightTime","kind","spinRateFit1","timeInterval1","measuredTimeInterval1","validTimeInterval1","xFit1","yFit1","zFit1"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"34076","Joel Dahmen","USA",TRUE,0,"Par","E","E","-","--","E","E","1",57393,"SST",1,"307 yds","201 yds",8246.6,11959.74,194.947,FALSE,"Right Fairway",1,2,7350.9,12166.43,132.518,FALSE,"OTB","ERF",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"34076","Joel Dahmen","USA",TRUE,0,"Par","E","E","-","--","E","E","1",57538,"SST",2,"209 yds","31 ft 3 in.",7350.9,12166.43,132.518,FALSE,"Green",1,2,6727.2,12116.95,80.281,FALSE,"OFW","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"34076","Joel Dahmen","USA",TRUE,0,"Par","E","E","-","--","E","E","1",57597,"SST",3,"27 ft 4 in.","3 ft 11 in.",6727.2,12116.95,80.281,FALSE,"Green",1,2,6746.6,12136.19,80.115,TRUE,"OGR","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"34076","Joel Dahmen","USA",TRUE,0,"Par","E","E","-","--","E","E","1",57729,"SST",4,"3 ft 11 in.","0 in.",6746.6,12136.19,80.115,FALSE,NA,1,2,6749.8,12138.72,80.111,TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"54421","Garrick Higgo","RSA",TRUE,0,"Par","E","E","-","--","E","E","1",57267,"SST",1,"363 yds","142 yds",8246.6,11959.74,194.947,FALSE,"Right Rough",1,2,7176.5,12138.6,104.336,FALSE,"OTB","ERR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"54421","Garrick Higgo","RSA",TRUE,0,"Par","E","E","-","--","E","E","1",57546,"SST",2,"146 yds","36 ft 0 in.",7176.5,12138.6,104.336,FALSE,"Green",1,2,6739.1,12104.12,80.389,FALSE,"ORO","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"54421","Garrick Higgo","RSA",TRUE,0,"Par","E","E","-","--","E","E","1",57572,"SST",3,"42 ft 0 in.","6 ft 3 in.",6739.1,12104.12,80.389,FALSE,"Green",1,2,6748.7,12145.04,79.989,TRUE,"OGR","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:40AM",1,"2022",1,"54421","Garrick Higgo","RSA",TRUE,0,"Par","E","E","-","--","E","E","1",57863,"SST",4,"6 ft 3 in.","0 in.",6748.7,12145.04,79.989,FALSE,NA,1,2,6749.8,12138.72,80.111,TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:50AM",1,"2022",1,"36689","Brooks Koepka","USA",TRUE,0,"Par","E","E","-","--","E","E","1",57669,"SST",1,"364 yds","140 yds",8246.6,11959.74,194.947,FALSE,"Right Rough",1,3,7166.1,12098.38,101.616,FALSE,"OTB","ERR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
"016","R",1,"656",1,"9:50AM",1,"2022",1,"36689","Brooks Koepka","USA",TRUE,0,"Par","E","E","-","--","E","E","1",57976,"SST",2,"144 yds","13 ft 9 in.",7166.1,12098.38,101.616,FALSE,"Green",1,3,6736.8,12143.63,79.998,FALSE,"ORO","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA"
