"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"1",1,5,"047","2021","538",1,2,1,"29461",1,"Flight",0,0,0,-0.216294,-2.32057e-15,0.940276,-260.73
"2",2,5,"047","2021","538",1,2,1,"29461",1,"Flight",2.616,3.212,2.841956,75.9093,12.8128,-5.97451,1127.24
"3",3,5,"047","2021","538",1,2,1,"29461",1,"Flight",3.924,4.818,4.262934,-11.7858,-0.0482492,1.59848,-777.129
"4",4,5,"047","2021","538",1,2,1,"29461",1,"Flight",5.232,6.424,5.683912,2.08277,-0.585659,-0.299677,164.929
"5",5,5,"047","2021","538",1,2,1,"29461",1,"Flight",6.54,8.03,7.10489,-0.279376,0.0602005,0.0387248,-10.1854
"6",1,5,"047","2021","538",1,2,1,"31560",1,"Flight",0,0,0,0.22675,-3.34751e-15,0.413179,-156.488
"7",2,5,"047","2021","538",1,2,1,"31560",1,"Flight",2.488,3.108,2.588404,70.4837,13.9402,0.798056,905.344
"8",3,5,"047","2021","538",1,2,1,"31560",1,"Flight",3.732,4.662,3.882606,-10.2169,-1.68111,-0.356049,-737.041
"9",4,5,"047","2021","538",1,2,1,"31560",1,"Flight",4.976,6.216,5.176808,1.68237,0.0477796,0.0624905,178.735
"10",5,5,"047","2021","538",1,2,1,"31560",1,"Flight",6.22,7.77,6.47101,-0.210573,-0.0696618,-0.00739729,-12.2766
"11",1,5,"047","2021","538",1,2,1,"46441",1,"Flight",0,0,0,-0.140857,4.38302e-15,0.643558,-156.468
"12",2,5,"047","2021","538",1,2,1,"46441",1,"Flight",2.544,3.148,2.633476,70.1813,13.6946,-4.85251,881.906
"13",3,5,"047","2021","538",1,2,1,"46441",1,"Flight",3.816,4.722,3.950214,-10.201,-1.08921,0.91855,-704.449
"14",4,5,"047","2021","538",1,2,1,"46441",1,"Flight",5.088,6.296,5.266952,1.62805,-0.21343,-0.162733,168.402
"15",5,5,"047","2021","538",1,2,1,"46441",1,"Flight",6.36,7.87,6.58369,-0.198997,-0.011009,0.0220576,-11.4093
"16",1,5,"047","2021","538",1,3,1,"29461",1,"Flight",0,0,0,0.465918,4.22667e-15,-0.686822,-65.2516
"17",2,5,"047","2021","538",1,3,1,"29461",1,"Flight",2.82,3.324,2.709412,73.7785,15.9475,-4.44878,438.626
"18",3,5,"047","2021","538",1,3,1,"29461",1,"Flight",4.23,4.986,4.064118,-11.7392,-0.446626,1.07477,-366.345
"19",4,5,"047","2021","538",1,3,1,"29461",1,"Flight",5.64,6.648,5.418824,1.93031,-0.602887,-0.200102,88.4766
"20",5,5,"047","2021","538",1,3,1,"29461",1,"Flight",7.05,8.31,6.77353,-0.24057,0.08012,0.0273586,-5.88098
"21",1,5,"047","2021","538",1,3,1,"31560",1,"Flight",0,0,0,0.523968,-9.48161e-16,-1.12721,-59.4622
"22",2,5,"047","2021","538",1,3,1,"31560",1,"Flight",2.308,2.848,2.314824,69.1042,10.9158,5.67039,475.587
"23",3,5,"047","2021","538",1,3,1,"31560",1,"Flight",3.462,4.272,3.472236,-10.2203,-1.39669,-0.836221,-460.901
"24",4,5,"047","2021","538",1,3,1,"31560",1,"Flight",4.616,5.696,4.629648,1.56361,0.570805,0.116488,129.057
"25",5,5,"047","2021","538",1,3,1,"31560",1,"Flight",5.77,7.12,5.78706,-0.206352,-0.244573,-0.0130128,-9.97981
"26",1,5,"047","2021","538",1,3,1,"46441",1,"Flight",0,0,0,-0.191122,5.10819e-15,0.464336,362.059
"27",2,5,"047","2021","538",1,3,1,"46441",1,"Flight",2.84,3.48,2.43172,72.5661,16.7988,1.7789,-1097.04
