Year,Tournament_ID,Tournament_Number,Course_ID,CourseName,Tournament Name,StartDate,EndDate, Purse , Country ,City,State
2022,464,10,552,Silverado Resort and Spa North,Fortinet Championship,9/16/21,9/19/21,"$7,000,000 ", USA ,Napa,CA
2022,468,20,904,Whistling Straits,Ryder Cup,9/24/21,9/26/21,, USA ,Sheboygan,WI
2022,54,30,746,Country Club of Jackson,Sanderson Farms Championship,9/30/21,10/3/21,"$7,000,000 ", USA ,Jackson,MS
2022,47,40,538,TPC Summerlin,Shriners Children's Open,10/7/21,10/10/21,"$7,000,000 ", USA ,Las Vegas,NV
2022,521,50,899,The Summit Club,THE CJ CUP @ SUMMIT,10/14/21,10/17/21,"$9,750,000 ", USA ,Las Vegas,NV
2022,527,60,875,Accordia Golf Narashino CC,ZOZO CHAMPIONSHIP,10/21/21,10/24/21,"$9,950,000 ", JPN ,Chiba,
2022,528,70,765,Port Royal Golf Course,Butterfield Bermuda Championship,10/28/21,10/31/21,"$6,500,000 ", BER ,Southampton,
2022,457,90,733,El Camaleon Golf Club,World Wide Technology Championship at Mayakoba,11/4/21,11/7/21,"$7,200,000 ", MEX ,Riviera Maya,
2022,20,100,897,Memorial Park Golf Course,Hewlett Packard Enterprise Houston Open,11/11/21,11/14/21,"$7,500,000 ", USA ,Houston,TX
2022,493,110,776,Sea Island Resort (Seaside),The RSM Classic,11/18/21,11/21/21,"$7,200,000 ", USA ,Sea Island,GA
2022,478,115,232,Albany,Hero World Challenge,12/2/21,12/5/21,"$3,500,000 ", BAH ,New Providence,
2022,58,120,678,Tiburón Golf Course,QBE Shootout,12/10/21,12/12/21,"$3,600,000 ", USA ,Naples,FL
2022,16,130,656,Plantation Course at Kapalua,Sentry Tournament of Champions,1/6/22,1/9/22,"$8,200,000 ", USA ,Maui,HI
2022,6,140,6,Waialae Country Club,Sony Open in Hawaii,1/13/22,1/16/22,"$7,500,000 ", USA ,Honolulu,HI
2022,2,150,704,Pete Dye Stadium Course,The American Express,1/20/22,1/23/22,"$7,600,000 ", USA ,La Quinta,CA
2022,4,160,4,Torrey Pines (South),Farmers Insurance Open,1/26/22,1/29/22,"$8,400,000 ", USA ,San Diego,CA
2022,5,170,5,Pebble Beach Golf Links,AT&T Pebble Beach Pro-Am,2/3/22,2/6/22,"$8,700,000 ", USA ,Pebble Beach,CA
2022,3,180,510,TPC Scottsdale,WM Phoenix Open,2/10/22,2/13/22,"$8,200,000 ", USA ,Scottsdale,AZ
2022,7,190,500,The Riviera Country Club,The Genesis Invitational,2/17/22,2/20/22,"$12,000,000 ", USA ,Pacific Palisades,CA
2022,10,200,734,PGA National (Champion),The Honda Classic,2/24/22,2/27/22,"$8,000,000 ", USA ,Palm Beach Gardens,FL
2022,483,210,742,Grand Reserve Golf Club,Puerto Rico Open,3/3/22,3/6/22,"$3,700,000 ", PUR ,Rio Grande,
2022,9,220,9,Bay Hill Club & Lodge,Arnold Palmer Invitational presented by Mastercard,3/3/22,3/6/22,"$12,000,000 ", USA ,Orlando,FL
2022,11,230,11,TPC Sawgrass,THE PLAYERS Championship,3/10/22,3/13/22,"$20,000,000 ", USA ,Ponte Vedra Beach,FL
2022,475,240,665,Innisbrook Resort (Copperhead),Valspar Championship,3/17/22,3/20/22,"$7,800,000 ", USA ,Palm Harbor,FL
2022,522,250,244,Corales Golf Club,Corales Puntacana Championship,3/24/22,3/27/22,"$3,700,000 ", DOM ,Punta Cana,
2022,470,260,185,Austin Country Club,World Golf Championships-Dell Technologies Match Play,3/23/22,3/27/22,"$12,000,000 ", USA ,Austin,TX
2022,41,270,770,TPC San Antonio (Oaks Course),Valero Texas Open,3/31/22,4/3/22,"$8,600,000 ", USA ,San Antonio,TX
2022,14,280,14,Augusta National Golf Club,Masters Tournament,4/7/22,4/10/22,"$15,000,000 ", USA ,Augusta,GA
2022,12,290,12,Harbour Town Golf Links,RBC Heritage,4/14/22,4/17/22,"$8,000,000 ", USA ,Hilton Head,SC
2022,18,300,714,TPC Louisiana,Zurich Classic of New Orleans,4/21/22,4/24/22,"$8,300,000 ", USA ,Avondale,LA
2022,540,310,978,Vidanta Vallarta,Mexico Open at Vidanta,4/28/22,5/1/22,"$7,300,000 ", MEX ,Vallarta,
2022,480,320,237,TPC Potomac at Avenel Farm,Wells Fargo Championship,5/5/22,5/8/22,"$9,000,000 ", USA ,Potomac,MD
2022,19,330,894,TPC Craig Ranch,AT&T Byron Nelson,5/12/22,5/15/22,"$9,100,000 ", USA ,McKinney,TX
2022,33,340,611,Southern Hills CC,PGA Championship,5/19/22,5/22/22,"$12,000,000 ", USA ,Tulsa,OK
2022,21,350,21,Colonial Country Club,Charles Schwab Challenge,5/26/22,5/29/22,"$8,400,000 ", USA ,Fort Worth,TX
2022,23,360,23,Muirfield Village Golf Club,the Memorial Tournament presented by Workday,6/2/22,6/5/22,"$12,000,000 ", USA ,Dublin,OH
2022,32,370,772,St. George's G&CC,RBC Canadian Open,6/9/22,6/12/22,"$8,700,000 ", CAN ,Toronto,ON
2022,26,380,654,The Country Club,U.S. Open,6/16/22,6/19/22,, USA ,Brookline,MA
2022,34,390,503,TPC River Highlands,Travelers Championship,6/23/22,6/26/22,"$8,300,000 ", USA ,Cromwell,CT
2022,30,400,669,TPC Deere Run,John Deere Classic,6/30/22,7/3/22,"$7,100,000 ", USA ,Silvis,IL
2022,518,410,884,Keene Trace Golf Club,Barbasol Championship,7/7/22,7/10/22,"$3,700,000 ", USA ,Nicholasville,KY
2022,,,,The Renaissance Club,Genesis Scottish Open,7/7/22,7/10/22,, SCO ,North Berwick,
2022,472,430,890,Tahoe Mt. Club (Old Greenwood),Barracuda Championship,7/14/22,7/17/22,"$3,700,000 ", USA ,Truckee,CA
2022,100,440,668,St. Andrews Links (Old Course),The Open Championship,7/14/22,7/17/22,, SCO ,Fife,
2022,525,450,883,TPC Twin Cities,3M Open,7/21/22,7/24/22,"$7,500,000 ", USA ,Blaine,MN
2022,524,460,876,Detroit Golf Club,Rocket Mortgage Classic,7/28/22,7/31/22,"$8,400,000 ", USA ,Detroit,MI
2022,13,470,752,Sedgefield Country Club,Wyndham Championship,8/4/22,8/7/22,"$7,300,000 ", USA ,Greensboro,NC
2022,27,480,513,TPC Southwind,FedEx St. Jude Championship,8/11/22,8/14/22,"$15,000,000 ", USA ,Memphis,TN
